,Weight
"('Normalized PE Ratio', 'Normalized Revenue per Share')",3.0
"('Normalized PE Ratio', 'Normalized Gross Margin')",5.0
"('Normalized PE Ratio', 'Normalized PB Ratio')",7.0
"('Normalized Revenue per Share', 'Normalized Gross Margin')",3.0
"('Normalized Revenue per Share', 'Normalized PB Ratio')",3.0
"('Normalized Gross Margin', 'Normalized PB Ratio')",0.5
